iter	Passed	Remaining
0	1	141
1	2	123
2	3	121
3	4	103
4	5	101
5	6	95
6	7	94
7	8	92
8	8	90
9	9	86
10	10	83
11	10	80
12	11	78
13	12	75
14	13	75
15	13	73
16	14	71
17	15	69
18	16	72
19	18	72
20	19	72
21	20	72
22	21	71
23	22	70
24	22	68
25	23	67
26	24	65
27	25	64
28	25	63
29	26	62
30	27	61
31	28	59
32	28	58
33	29	57
34	30	55
35	30	54
36	31	53
37	33	54
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	47	38
55	48	37
56	48	36
57	49	35
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	26
68	57	26
69	58	25
70	59	24
71	59	23
72	62	23
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	74	12
86	76	11
87	77	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	86	1
98	86	0
99	87	0
